"","x"
"slyA",506
"ydhI",9
"ydhJ",32
"ydhK",72
"sodC",104
"ydhF",133
"ydhL",12
"nemR",25
"nemA",230
"gloA",351
"rnt",129
"lhr",404
"grxD",314
"mepH",106
"sodB",131
"ydhP",129
"ynhF",33
"purR",725
"ydhB",89
"ydhC",26
"cfa",760
"ribC",314
"mdtK",216
"ydhQ",376
"valV",1
"valW",11
"ydhR",223
"ydhS",74
"ydhT",21
"ydhU",19
"ydhX",7
"ydhW",11
"ydhV",10
"ydhY",2
"ydhZ",25
"pykF",2106
"lpp",15352
"ldtE",397
"sufE",254
"sufS",1084
"sufD",1301
"sufC",658
"sufB",1581
"sufA",233
"rydB",22
"ydiH",63
"menI",227
"ydiJ",1312
"ydiK",274
"rprA",3
"ydiL",0
"ydiM",4
"ydiN",2
"ydiB",3
"aroD",216
"ydiF",7
"ydiO",11
"ydiP",33
"ydiQ",6
"ydiR",14
"ydiS",10
"ydiT",3
"fadK",47
"ppsA",2924
"ppsR",259
"aroH",400
"ydiE",42
"ydiU",470
"ydiV",86
"nlpC",154
"btuD",188
"btuE",193
"btuC",116
"ihfA",1497
"pheT",2933
"pheS",1282
"pheM",33
"rplT",4995
"rpmI",4074
"infC",4709
"thrS",5153
"arpB",8
"yniD",5
"ydiY",92
"pfkB",107
"ydiZ",41
"yniA",176
"yniB",97
"yniC",156
"ydjM",12
"ydjN",1232
"ydjO",50
"cedA",13
"katE",456
"chbG",57
"chbF",22
"chbR",46
"chbA",4
"chbC",15
"chbB",26
"osmE",416
"nadE",1013
"cho",97
"ves",137
"spy",98
"astE",13
"astB",24
"astD",20
"astA",8
"astC",18
"xthA",270
"ydjX",22
"ydjY",17
"ydjZ",15
"ynjA",46
"ynjB",127
"ynjC",61
"ynjD",30
"ynjE",77
"ynjF",40
"nudG",90
"ynjH",69
"gdhA",8444
"ynjI",268
"topB",793
"selD",965
"ydjA",520
"sppA",531
"ansA",240
"pncA",167
"ydjE",17
"ydjF",30
"ydjG",22
"ydjH",3
"ydjI",10
"ydjJ",4
"ydjK",7
"ydjL",6
"yeaC",174
"msrB",187
"gapA",16946
"yeaD",362
"yeaE",119
"mipA",1057
"yeaG",710
"yeaH",212
"yeaI",2
"yeaJ",50
"yeaK",130
"yoaI",24
"yeaL",26
"yeaM",24
"yeaN",24
"yeaO",64
"yoaF",47
"yeaP",297
"yoaK",16
"yoaJ",13
"yeaQ",294
"yoaG",0
"yeaR",2
"leuE",15
"dmlR",56
"dmlA",58
"yeaV",3
"yeaW",3
"yeaX",25
"rnd",216
"fadD",104
"yeaY",168
"tsaB",170
"yoaA",224
"yoaB",292
"yoaC",38
"yoaH",35
"pabB",109
"nudL",81
"sdaA",164
"yoaD",34
"yoaE",187
"manX",1009
"manY",957
"manZ",1165
"yobD",35
"mntP",14
"rlmA",120
"cspC",2201
"yobF",240
"yebO",747
"mgrB",114
"yobH",34
"kdgR",251
"yebQ",31
"htpX",1532
"prc",2106
"proQ",1690
"msrC",666
"yebS",111
"yebT",291
"rsmF",122
"yebV",111
"yebW",15
"pphA",26
"ryeA",10
"sdsR",0
"yebY",229
"yebZ",370
"yobA",201
"holE",64
"yobB",89
"exoX",152
"ptrB",186
"yebE",285
"yebF",131
"yebG",66
